,0
0,4.837578296661377
1,2.1093146800994873
2,2.2406444549560547
3,2.4469351768493652
4,2.0035154819488525
5,2.177708864212036
6,2.431258201599121
7,2.4040534496307373
8,2.3592803478240967
9,2.8324267864227295
10,2.8628976345062256
11,2.3608367443084717
12,2.651111364364624
13,2.4633705615997314
14,2.64503812789917
15,2.688279390335083
16,2.4778473377227783
17,2.2702646255493164
18,2.5457799434661865
19,2.5580263137817383
20,2.2617838382720947
21,2.092874526977539
22,2.205521583557129
23,2.4758448600769043
24,2.3810787200927734
25,2.59555721282959
26,2.511453628540039
27,2.1280856132507324
28,2.329280138015747
29,1.8929986953735352
30,2.5544636249542236
31,2.5350091457366943
32,2.502987861633301
33,2.557642936706543
34,2.702667236328125
35,2.1902236938476562
36,2.4909346103668213
37,2.268904447555542
38,2.705552101135254
39,2.146695375442505
40,4.817723274230957
41,2.090911626815796
42,2.247079372406006
43,2.4519155025482178
44,2.0017757415771484
45,2.173828363418579
46,2.428784132003784
47,2.4083714485168457
48,2.3595433235168457
49,2.823310136795044
50,2.8609049320220947
51,2.3589160442352295
52,2.6449027061462402
53,2.4599430561065674
54,2.6451199054718018
55,2.6881704330444336
56,2.476667881011963
57,2.271254062652588
58,2.5447378158569336
59,2.5574140548706055
60,2.2649378776550293
61,2.090500593185425
62,2.202599287033081
63,2.4726767539978027
64,2.3783504962921143
65,2.5946974754333496
66,2.515256404876709
67,2.128249168395996
68,2.3313064575195312
69,1.8952226638793945
70,2.556751012802124
71,2.5407299995422363
72,2.506396770477295
73,2.5558109283447266
74,2.7032437324523926
75,2.190700054168701
76,2.4897408485412598
77,2.269387722015381
78,2.7035253047943115
79,2.147642135620117
80,4.83762788772583
81,2.0904781818389893
82,2.2468552589416504
83,2.4519388675689697
84,2.0017919540405273
85,2.1736185550689697
86,2.427929639816284
87,2.40899920463562
88,2.3606581687927246
89,2.8212194442749023
90,2.8573713302612305
91,2.3561301231384277
92,2.631143569946289
93,2.458230972290039
94,2.6444995403289795
95,2.687598466873169
96,2.476773738861084
97,2.268341541290283
98,2.5426130294799805
99,2.557433843612671
100,2.2677624225616455
101,2.089096784591675
102,2.2015626430511475
103,2.470815658569336
104,2.376300573348999
105,2.596515417098999
106,2.5151238441467285
107,2.1288745403289795
108,2.330763339996338
109,1.8974069356918335
110,2.5588200092315674
111,2.5461554527282715
112,2.5080783367156982
113,2.554633140563965
114,2.6996798515319824
115,2.189694881439209
116,2.487513542175293
117,2.2705698013305664
118,2.7053327560424805
