,0
0,4.563535690307617
1,2.11179780960083
2,2.2430410385131836
3,2.465348720550537
4,2.0044498443603516
5,2.1839892864227295
6,2.4422173500061035
7,2.4104092121124268
8,2.3631997108459473
9,2.8364439010620117
10,2.8703091144561768
11,2.360305070877075
12,2.6493024826049805
13,2.474050521850586
14,2.6449806690216064
15,2.6870741844177246
16,2.4770357608795166
17,2.279275417327881
18,2.555093288421631
19,2.5544965267181396
20,2.257948637008667
21,2.10050368309021
22,2.2147772312164307
23,2.480862855911255
24,2.3859901428222656
25,2.5957651138305664
26,2.511507749557495
27,2.132411479949951
28,2.329829454421997
29,1.8938632011413574
30,2.5541956424713135
31,2.532209873199463
32,2.5045764446258545
33,2.562119483947754
34,2.708146333694458
35,2.191056251525879
36,2.490374803543091
37,2.271588087081909
38,2.7169482707977295
39,2.150369644165039
40,4.817017078399658
41,2.091310501098633
42,2.2451202869415283
43,2.4464454650878906
44,2.0014257431030273
45,2.173387289047241
46,2.4302926063537598
47,2.4063878059387207
48,2.3606133460998535
49,2.8225436210632324
50,2.866564989089966
51,2.355990409851074
52,2.6530652046203613
53,2.4663095474243164
54,2.6433780193328857
55,2.6851437091827393
56,2.4738967418670654
57,2.281994104385376
58,2.550334930419922
59,2.5567333698272705
60,2.2599775791168213
61,2.089378595352173
62,2.2097365856170654
63,2.4740166664123535
64,2.3817379474639893
65,2.5924551486968994
66,2.508465051651001
67,2.132185459136963
68,2.3330392837524414
69,1.8961427211761475
70,2.5528388023376465
71,2.531128406524658
72,2.5084710121154785
73,2.5665102005004883
74,2.708909511566162
75,2.192692995071411
76,2.491581439971924
77,2.2687695026397705
78,2.702493190765381
79,2.1491408348083496
80,4.846513271331787
81,2.09061598777771
82,2.243232011795044
83,2.444653272628784
84,2.001659393310547
85,2.1730148792266846
86,2.426466941833496
87,2.40670108795166
88,2.359551429748535
89,2.8205935955047607
90,2.865438461303711
91,2.3529868125915527
92,2.6422486305236816
93,2.4618914127349854
94,2.6420655250549316
95,2.6848220825195312
96,2.472363233566284
97,2.2842555046081543
98,2.546238899230957
99,2.553959369659424
100,2.2613871097564697
101,2.0864920616149902
102,2.2078380584716797
103,2.4708633422851562
104,2.3784050941467285
105,2.5923988819122314
106,2.5093796253204346
107,2.1330182552337646
108,2.3347346782684326
109,1.8976026773452759
110,2.551007032394409
111,2.531862497329712
112,2.5101723670959473
113,2.5679657459259033
114,2.7075271606445312
115,2.1921772956848145
116,2.4892396926879883
117,2.2676596641540527
118,2.7040014266967773
119,2.1479721069335938
120,4.866186141967773
121,2.0894224643707275
122,2.2417385578155518
123,2.4430572986602783
