torch.nn.modules.conv.Conv2d',9408
torch.nn.modules.batchnorm.BatchNorm2d',64
torch.nn.modules.conv.Conv2d',36864
torch.nn.modules.batchnorm.BatchNorm2d',64
torch.nn.modules.conv.Conv2d',36864
torch.nn.modules.batchnorm.BatchNorm2d',64
torch.nn.modules.conv.Conv2d',36864
torch.nn.modules.batchnorm.BatchNorm2d',64
torch.nn.modules.conv.Conv2d',36864
torch.nn.modules.batchnorm.BatchNorm2d',64
torch.nn.modules.conv.Conv2d',73728
torch.nn.modules.batchnorm.BatchNorm2d',128
torch.nn.modules.conv.Conv2d',147456
torch.nn.modules.batchnorm.BatchNorm2d',128
torch.nn.modules.conv.Conv2d',8192
torch.nn.modules.batchnorm.BatchNorm2d',128
torch.nn.modules.conv.Conv2d',147456
torch.nn.modules.batchnorm.BatchNorm2d',128
torch.nn.modules.conv.Conv2d',147456
torch.nn.modules.batchnorm.BatchNorm2d',128
torch.nn.modules.conv.Conv2d',294912
torch.nn.modules.batchnorm.BatchNorm2d',256
torch.nn.modules.conv.Conv2d',589824
torch.nn.modules.batchnorm.BatchNorm2d',256
torch.nn.modules.conv.Conv2d',32768
torch.nn.modules.batchnorm.BatchNorm2d',256
torch.nn.modules.conv.Conv2d',589824
torch.nn.modules.batchnorm.BatchNorm2d',256
torch.nn.modules.conv.Conv2d',589824
torch.nn.modules.batchnorm.BatchNorm2d',256
torch.nn.modules.conv.Conv2d',1179648
torch.nn.modules.batchnorm.BatchNorm2d',512
torch.nn.modules.conv.Conv2d',2359296
torch.nn.modules.batchnorm.BatchNorm2d',512
torch.nn.modules.conv.Conv2d',131072
torch.nn.modules.batchnorm.BatchNorm2d',512
torch.nn.modules.conv.Conv2d',2359296
torch.nn.modules.batchnorm.BatchNorm2d',512
torch.nn.modules.conv.Conv2d',2359296
torch.nn.modules.batchnorm.BatchNorm2d',512
torch.nn.modules.linear.Linear',512000
